mode,mean_context_load_sec,mean_library_setup_sec,mean_compute_sec,mean_invocation_runtime_sec
L1,0.06393971946995862,0.0,0.039735874139987575,0.11446836506499494
L2,0.004049577244970805,0.0,0.05438103185001637,0.06961819467499254
L3,0.0,0.0,0.008049912759979634,0.0119949640799814
L3_RETAINED_CONTEXT_SETUP,0.0,0.003658015999917552,0.0,0.0
