mode,workers,invocations,total_time_sec,mean_runtime_sec,median_runtime_sec,std_runtime_sec,min_runtime_sec,max_runtime_sec
L1,1,100,20.638934556999857,0.07313811739000813,0.0728794275000837,0.0011277828588196414,0.07175767599983374,0.07810079299997597
L2,1,100,14.82377000400038,0.01650548356999934,0.016343029999916325,0.0006903709591930087,0.015814087000308064,0.01895175899971946
L3,1,100,5.0252556109999205,0.003838322629990216,0.0034876669999448495,0.0031653343589338255,0.0033065769998756878,0.035121261999847775
L1,2,100,17.843188557999838,0.15579861273998177,0.1866739025001607,0.04883731800725467,0.07247818400037431,0.21336215000019365
L2,2,100,16.24331194599972,0.12273090577998573,0.133287654500009,0.032936384697349386,0.015872086999934254,0.1524634799998239
L3,2,100,4.331430893000288,0.020151605529972586,0.00860027299995636,0.0358475375057636,0.0033402340000066033,0.14962415499985582
