mode,invocation_id,runtime_sec,context_load_sec,library_setup_sec,compute_sec,start_wall_time,end_wall_time,checksum,completion_sec,workers
L1,75,0.07329760900006477,0.061298514999862164,0.0,0.0014304359999641747,1781386814.8584871,1781386814.9317865,0.03162277660165255,15.715449333190918,1
L1,76,0.07214760900001238,0.06018472699997801,0.0,0.0016261999999187537,1781386815.0612721,1781386815.1334214,0.031622776601651914,15.917084217071533,1
L1,77,0.07439420200012137,0.06161841799985268,0.0,0.0015450409998720716,1781386815.2637157,1781386815.3381124,0.03162277660165256,16.121775150299072,1
L1,78,0.0727988109999842,0.06061663100012993,0.0,0.0017612999999983003,1781386815.4702873,1781386815.5430882,0.03162277660165201,16.326750993728638,1
L1,79,0.07256529899996167,0.060397278999971604,0.0,0.0014678329998787376,1781386815.6742656,1781386815.7468328,0.031622776601652185,16.530495643615723,1
L1,80,0.07695003499998165,0.06475399199985077,0.0,0.001479742000128681,1781386815.8964283,1781386815.9733806,0.03162277660165191,16.75704336166382,1
L1,81,0.07287421999990329,0.06076490200007356,0.0,0.001466087999915544,1781386816.105055,1781386816.17794,0.03162277660165228,16.961602687835693,1
L1,82,0.07416097100008301,0.062088413000083165,0.0,0.0014578619998246722,1781386816.3087373,1781386816.3829002,0.03162277660165166,17.166563034057617,1
L1,83,0.07295131299997593,0.061206289999972796,0.0,0.0014165280001634528,1781386816.516751,1781386816.5897038,0.03162277660165222,17.373366594314575,1
L1,84,0.07258540099974198,0.0609784389998822,0.0,0.001390275999710866,1781386816.7192934,1781386816.7918806,0.03162277660165221,17.57554340362549,1
L1,85,0.07269536900003004,0.06102154599966525,0.0,0.0014390250003089022,1781386816.923852,1781386816.9965491,0.03162277660165259,17.780211925506592,1
L1,86,0.07358312799988198,0.061315058000218414,0.0,0.001408134000030259,1781386817.1260402,1781386817.1996253,0.03162277660165267,17.983288049697876,1
L1,87,0.07211524299964367,0.06052089800004978,0.0,0.0014210999997885665,1781386817.3290925,1781386817.4012098,0.03162277660165226,18.1848726272583,1
L1,88,0.07183557000007568,0.06024555799967857,0.0,0.0014201109997884487,1781386817.5300965,1781386817.6019342,0.03162277660165186,18.385596990585327,1
L1,89,0.072845311999572,0.06105058799994367,0.0,0.0014526309996654163,1781386817.7316897,1781386817.8045368,0.03162277660165219,18.588199615478516,1
L1,90,0.0731296270000712,0.061264930999641365,0.0,0.0013737879999098368,1781386817.9345007,1781386818.0076318,0.031622776601652365,18.79129457473755,1
L1,91,0.07191397200040228,0.06029763200012894,0.0,0.001424705000317772,1781386818.138358,1781386818.2102737,0.03162277660165197,18.99393653869629,1
L1,92,0.07241121500010195,0.06035336600007213,0.0,0.0014588859999093984,1781386818.3401105,1781386818.4125237,0.03162277660165211,19.196186542510986,1
L1,93,0.07188358499979586,0.06020307800008595,0.0,0.0014088180000726425,1781386818.545956,1781386818.6178412,0.03162277660165246,19.401504039764404,1
L1,94,0.0739116939998894,0.06138237100003607,0.0,0.0014523889999509265,1781386818.7476346,1781386818.8215482,0.03162277660165221,19.60521101951599,1
L1,95,0.07181621000017913,0.060222199999770964,0.0,0.001419991000148002,1781386818.952612,1781386819.0244298,0.03162277660165204,19.80809259414673,1
L1,96,0.07289947700019184,0.06060729699993317,0.0,0.0015252570001393906,1781386819.1553922,1781386819.2282937,0.03162277660165222,20.011956453323364,1
L1,97,0.07297276700001021,0.0610933660000228,0.0,0.0014704929999425076,1781386819.3598566,1781386819.4328313,0.031622776601652205,20.21649408340454,1
L1,98,0.0728846350002641,0.061084148999725585,0.0,0.001435271999980614,1781386819.5620172,1781386819.6349041,0.03162277660165241,20.418566942214966,1
L1,99,0.07194293900010962,0.06017712299990308,0.0,0.0014349400003084156,1781386819.7658725,1781386819.8378167,0.031622776601652414,20.621479511260986,1
L2,0,0.01875262900011876,0.006190796999817394,0.0,0.0015158779997364036,1781386825.028994,1781386825.0477483,0.03162277660165239,0.17415142059326172,1
L2,1,0.016780986999947345,0.003833498999938456,0.0,0.0014238580001801893,1781386825.1933234,1781386825.2101066,0.03162277660165169,0.33650970458984375,1
L2,2,0.016695126999820786,0.004300550000152725,0.0,0.001408292000178335,1781386825.340299,1781386825.356996,0.031622776601652275,0.4833991527557373,1
L2,3,0.016024997999920743,0.003702402999806509,0.0,0.0013790299999527633,1781386825.486363,1781386825.5023897,0.031622776601652136,0.6287927627563477,1
L2,4,0.016996449000089342,0.0041662189996714005,0.0,0.0013586380000560894,1781386825.6348047,1781386825.6518033,0.03162277660165262,0.7782063484191895,1
L2,5,0.01603214900023886,0.0036927709998053615,0.0,0.0013580800000454474,1781386825.7817507,1781386825.7977848,0.031622776601652164,0.9241878986358643,1
L2,6,0.01603338499990059,0.003710740999849804,0.0,0.0013265110001157154,1781386825.928002,1781386825.9440372,0.031622776601652094,1.0704402923583984,1
L2,7,0.015889356999650772,0.0036783340001420584,0.0,0.0013564570003836707,1781386826.0748332,1781386826.0907245,0.031622776601652365,1.2171275615692139,1
L2,8,0.016048898000008194,0.003702681000049779,0.0,0.001347726999938459,1781386826.2195837,1781386826.2356348,0.03162277660165214,1.3620378971099854,1
L2,9,0.016036026000165293,0.0037163959996178164,0.0,0.001371593999920151,1781386826.3658714,1781386826.3819091,0.03162277660165214,1.5083122253417969,1
L2,10,0.016080888999567833,0.0037312700001166377,0.0,0.0013494969998646411,1781386826.513396,1781386826.5294793,0.03162277660165213,1.6558823585510254,1
L2,11,0.016101608000099077,0.0038001180000719614,0.0,0.0013545120000344468,1781386826.6615918,1781386826.6776955,0.03162277660165203,1.8040986061096191,1
L2,12,0.017112654999891674,0.0047320260000560666,0.0,0.0013689810002688318,1781386826.8083436,1781386826.8254585,0.031622776601652004,1.9518616199493408,1
L2,13,0.015994053999747848,0.0037178920001679217,0.0,0.001374751000184915,1781386826.9541852,1781386826.9701817,0.03162277660165259,2.0965847969055176,1
L2,14,0.016046229000039602,0.0037294939997991605,0.0,0.001363006000246969,1781386827.1004946,1781386827.116542,0.03162277660165214,2.2429451942443848,1
L2,15,0.015960666999944806,0.0037025239998911275,0.0,0.0013390780000008817,1781386827.2456615,1781386827.2616243,0.03162277660165201,2.3880274295806885,1
L2,16,0.01598321500023303,0.0036998420000600163,0.0,0.001350056000319455,1781386827.390792,1781386827.4067771,0.03162277660165162,2.5331802368164062,1
L2,17,0.016693185999884008,0.004159071000231052,0.0,0.0013933969999015972,1781386827.5378652,1781386827.5545604,0.03162277660165256,2.6809635162353516,1
L2,18,0.01605334700025196,0.0037052220000077796,0.0,0.0013670789999196131,1781386827.6840384,1781386827.7000935,0.031622776601652115,2.8264966011047363,1
L2,19,0.0161764059998859,0.003766925000036281,0.0,0.0013885499997741135,1781386827.8323963,1781386827.8485744,0.03162277660165225,2.974977493286133,1
L2,20,0.016021099999761645,0.0037526539999817032,0.0,0.001331618000222079,1781386827.9791775,1781386827.9952004,0.031622776601651956,3.121603488922119,1
L2,21,0.015954968000187364,0.0037580389998765895,0.0,0.0013729590000366443,1781386828.1253145,1781386828.141272,0.03162277660165212,3.2676751613616943,1
L2,22,0.016626128000098106,0.004201057000045694,0.0,0.001427010000043083,1781386828.2703803,1781386828.2870085,0.03162277660165202,3.4134116172790527,1
L2,23,0.016522097999768448,0.004195589000119071,0.0,0.0013674709998667822,1781386828.41778,1781386828.434304,0.03162277660165221,3.5607070922851562,1
L2,24,0.016160882999884052,0.003806055000040942,0.0,0.0013528469999073423,1781386828.5658832,1781386828.5820458,0.031622776601652317,3.708448886871338,1
L2,25,0.016175128999748267,0.003816333000031591,0.0,0.0013886700003240549,1781386828.7127736,1781386828.7289507,0.031622776601652226,3.855353832244873,1
L2,26,0.016438550000202667,0.003799399999934394,0.0,0.001411857999755739,1781386828.8593237,1781386828.8757641,0.03162277660165183,4.002167224884033,1
L2,27,0.01608296499989592,0.0037811550000697025,0.0,0.001365900000109832,1781386829.0059888,1781386829.0220742,0.031622776601652205,4.14847731590271,1
L2,28,0.016080060000149388,0.003798332999849663,0.0,0.001376394000089931,1781386829.1528633,1781386829.1689453,0.03162277660165196,4.295348405838013,1
L2,29,0.016507454000020516,0.004187156000170944,0.0,0.0013619879996440432,1781386829.299416,1781386829.3159254,0.03162277660165266,4.442328453063965,1
L2,30,0.01595855000005031,0.003746039000361634,0.0,0.0013500569998541323,1781386829.4454405,1781386829.4614005,0.031622776601652115,4.587803602218628,1
L2,31,0.015968611000062083,0.003707876000135002,0.0,0.0013665779997609206,1781386829.5900645,1781386829.6060352,0.03162277660165247,4.732438325881958,1
L2,32,0.01728581999987,0.004717014999641833,0.0,0.0013387700000748737,1781386829.7388797,1781386829.7561677,0.031622776601651977,4.882570743560791,1
L2,33,0.016004613999939465,0.0036997420002080617,0.0,0.0013593590001619305,1781386829.8866572,1781386829.902664,0.0316227766016524,5.029067039489746,1
L2,34,0.01604717400005029,0.003715760999966733,0.0,0.0013635700001941586,1781386830.0332644,1781386830.0493135,0.03162277660165211,5.1757166385650635,1
L2,35,0.01593552499980433,0.0036470750001171837,0.0,0.0013296960000843683,1781386830.1790178,1781386830.194955,0.03162277660165204,5.3213582038879395,1
