mode,workers,invocations,total_time_sec
L1,1,100,20.638934556999857
L2,1,100,14.82377000400038
L3,1,100,5.0252556109999205
L1,2,100,17.843188557999838
L2,2,100,16.24331194599972
L3,2,100,4.331430893000288
